Comment Title,Comments,Countries,Date,Mobile,Rating
honeymoon,everything is awesome. i had so happy days. foods| traver| staffs and activity. when you visit to mourititus i will recommend here. actually i will visit again. and i naver forgot coffee at the resort. ,Triolet,12-12-17,Yes,5
Awesome,was a great ambiance fantastic hotel fantastic people more importantly the have instill the mauritian culture in their people and smile all the way precise careful hotel with a great attitude that makes you happy.,Johannesburg| Gauteng| South Africa,11-12-17,Yes,5
Fantastic stay,We stayed 16 days in November and had a fabulous time. Great setting| atmosphere and staff. Delicious food and we really made the most of the water sports at The Boat House. The dive center is excellent. ,Johannesburg| Gauteng| South Africa,09-12-17,Yes,5
One of the most romantic hotels in Mauritius,Outstanding hotel and outstanding staff in a beautiful location that photos cannot do justice too. Our beach facing room was literally 50 feet from the beach and the food was perfect throughout the entire resort.We highly recommend this hotel to couples looking for a romantic getaway and time to themselves.,Johannesburg| Gauteng| South Africa,08-12-17,Yes,5
A little bit of paradise,This magnificent hotel is a bit of paradise. On a group holiday| as part of an award for my wife| and 9 other couples - the hotel went out of its way to accommodate us. Spent 6 nights here. The large spacious rooms open up to your own patio and private pool over looking evergreen palm trees and the tropical| and radiant hues of blue ocean. The beach is magnificent - with plenty of activities at the hotel. This hotel boasts five gourmet restaurants each with its unique style and flavour an all ocean facing. The executive assistant Ms Fathima| was always so pleasant and well posied - knowing all of her guest by name making us feel so very welcomed. This resort is luxurious and a dream resort to stay at. The grandeur of this paradise is breathtaking.,Johannesburg| Gauteng| South Africa,08-12-17,Yes,5
Good quailty,Solid 5 Star quality on a nice beach. Good service| friendly atmosphere| good water and sporting facilities. The only thing which was irritating was that the hotel accepted reserving Beach chairs in the early morning| so same we know from mass 2-3star tourism at the mediterrenian ,Zurich| Switzerland,07-12-17,Yes,5
A super hotel,We were given a very good welcome and escorted to our rooms. Most of the rooms are two storey in a horse shoe shape around a pool| six horseshoes and six pools and a huge central pool near the restaurants and reception. The rooms were huge and tastefully decorated| a very spacious balcony| large bathroom with plenty of soft towels and adequate toiletries. A super buffet restaurant with an amazing choice of food and separate cooking stations. Four separate a LA carte restaurants available also. Throughout the hotel the staff were very attentive and polite. Overall an amazing experience.,Doncaster| United Kingdom,04-12-17,Yes,5
Beautiful location| great service,We stayed for four nights at the Beachcomber TAB. The hotel grounds are stunning and our room was huge.Service was great from all staff and everything was helpful.Breakfast was awesome| the quality of the products was very good (my judging panel: eggs| pancakes/waffles/crepes| viennoiseries (pain au chocolat| croissant etc)| juice). There was also non-alcoholic champagne for breakfast| which is a great start of the day!,London| United Kingdom,01-12-17,Yes,5
Recovery of Mobile Phone,This is a slightly off-the-wall review| as we didn't stay at the Trou aux Biches Beachcomber Resort & Spa - however| the dedication and efficiency of the staff made a major contribution to our holiday. I rather foolishly left my mobile phone on a bench overlooking the beach and bordering the hotel - an hour or so later (having realised my loss)| I called my phone more in vain hope than expectation| only for it to be answered by security at the Beachcomber| where one of the hotel staff had taken the phone. Honest| helpful and appreciative of the disruption and diminution of an enjoyable holiday that the loss of a phone can cause| I send my unreserved thanks to the staff of the Beachcomber.,London| United Kingdom,01-12-17,Yes,5
Honeymoon Nov 2017,We had an amazing time on our honeymoon and stayed in a beach front suite with pool. We have absolutely no complaints and were extremely well looked after by Leckraj and his teams in the Mahiya and Blue Ginger restaurants. We didn’t want to come home and would love to return one day. ,Triolet,26-11-17,Yes,5
It was not what I expected,For that kind of money| there are much better possibilities. First of all| there is nothing to do at nights after dinner. No entertainment and the ones they did were very poor quality. Hotel has alot of restaurants but you need to make reservations 2-3 days in advance. And the main restaurant's food variety is very poor also especially for breakfast.,Triolet,22-11-17,Yes,3
Very beautiful and good value resort,We stayed at three different properties during our two weeks vactions on Mauritus and this resort was clearly the best value (especially the fair pricing of drinks). Resort maintenance and sport equipment is up-to-date and staff is friendly and helpful. Foods quality and diversity was very good! Go for it.,Mumbai,22-11-17,Yes,5
Lovely resort !!!,Me and my wife spent one week in this beautiful resort. The staff is very helpful and friendly. Our room and all resort was perfectly clean. Transfer from Airport to hotel takes about one hour. During checkin you will receive welcome drink with a fruit. We really enjoyed L'Oasis buffet restaurant with big selection of local and continental food. In case your flight back home is in the evening you can checkout from your room and enjoy rest of your day in resort with all benefits then you will receive access to the single room to change clothes and you can leave resort late evening| which is very helpful.I can just reccomend this resort for your stay in Mauritius.,Mumbai,16-11-17,Yes,5
Great stay at Trou aux Biches!,I enjoyed a great stay with my husband and my two year old son. We booked a junior suite with a private swimming pool. My son was provided with all the amenities (bath tub| baby cot| bottle sterilizer/warmer| toilet seat etc..) to provide us parents| a stress free weekend. The food at the Thai restaurant was simply amazing and the Spa facilities is also highly commendable for those looking for a relaxation moment. I would highly recommend anyone planning for holidays in Mauritius to choose Trou-aux-Biches Beachcomber hotel.,Mumbai,14-11-17,Yes,5
Great beach,Lovely rooms - a bit dark but then i guess that's a resort for you.Good food - great service staffThe breakfast is a lovely spread and the evenings have theme dinners in the coffee shopsAsk for a room in crescent 1 or 2,Mumbai,08-11-17,Yes,5
Fabulous resort. Longer breakfast times advisable.,Trou aux Biches is a fantastic resort| on a fabulous beach| on a wonderful Island.There are 4 things that stand out in this resort:1/ locationThis resort is located at the North West side of the Island. This means 2 wins:- the norther part is the sunniest part of the country. This is especially relevant if you are looking for a short stay. (2-3 days of consecutive rainfall and no sunshine are very common in this part of the world)- the western part of the country is shielded from the dominant winds which are mostly from a south eastern direction. For those who have been to the Maldives| this is the part of the island where the water is almost still as a lake. An ideal environment for coral to grow in shallow waters.The eastern part on the contrary has a fantastic lagoon which stretches from north to south. On the Western side there are fewer lagoons| and they are smaller and equally beautiful. It means that you can almost snorkel all the way up from the beach to the reef.2/ the tropical garden & beachThe garden is fantastic fusion between natural and cultivated vegetation. It’s a real birds paradise. If you mind the sound of birds in the morning| ask the reception for a location with lesser bird population. The bungalows are all orientated towards each other and every area has it’s own swimming pool. So no towel fights in the morning. Dito for the beach.Like all beaches in Mauritius| Trou auw biches is a public beach but with private seafront beds. (See foto)3/ foodBefore mauritius became an English colony| it belonged to France. That heritage and love for fine dining is cultivated in every single restaurant. As a half board guest| you can dine in the a la carte restaurants. Some dishes require a supplement.4/ friendliness of staffAlthough this is not a feature of this resort but part of the Mauritian DNA. Fantastic people. (Hard not to be if you’re living in one of the most beautiful Islands in the world)There is only one « to be improved »| but it’s an important one. Breakfast stops at 10 am. Room service is provided until 10:30| comes at a suppliment and you have to miss out on the freshness of a buffet breakfast. Although this is a common practice in the area (eg Maldives) this is far below worldwide standards. Breakfast should be served until 11:00am. Room service untill noon. The thing that annoys the most is that 9:30 is rush hour. So you might have to line up and wait for 5 to 10 minutes. The latter is totally unacceptable for a resort of this category.,Sichuan| China,08-11-17,Yes,5
Impressed by staff !,My business partner and me visited several hotels last month all over Mauritius| When we just reached Trou aux biches actuallty wasn't a nice experience| the main gate took too much time to grant access for us| and porters (or concierge staff ) didn't help us to open the car door| even they looked at us inside the car twice but just turned back face talking with each other. But my impression to this hotel becomes EXCELLENT because of the staff named Celine from Front Office(Sorry not sure whether the spelling is correct) . She took hotel map and business card to us| also explained room categories and hotel facilities very very in detail as if we are check-in guests. Later on Celine showed us around this beautiful resort by buggy. Fortunately me and my business partner got chances to visit at least 3 rooms from different categories. Trou aux Biches is the most wonderful resort I have visited in Mauritius!At end of the visit Celine gave us a sales kit which we can get more information about this lovely resort. Thank you Celine for your warm welcoming and all you did for us!Regards|Snow & Wenpeng from China,Sichuan| China,05-11-17,Yes,5
Shame,Very poor food options and the kids likened it to school dinners!! Many fabulous features and rooms were incredible but the food was a real let down and we were disturbed by the way the water sports staff mistreated the reef. The hotel claims to be green and to take steps to protect the reef but we saw no evidence| instead we saw the staff thoroughly mistreat it. How can you drop an anchor directly on a reef in this day and age?,London| United Kingdom,05-11-17,Yes,2
Luxury service in paradise,Myself| my husband and 3 year old son stayed with my Mum| Mother-in-law and aunt in a 3 bed villa and had an amazing stay. This was our luxury holiday for the year to celebrate my husband's 40th birthday earlier in the month. My son has allergies and is essentially vegan and the rest of our group are pure vegetarian. We were well catered for and my son was especially pleased to have lemon sorbet for his dessert every evening!Jay at L'Oasis was incredibly friendly and ensured we were all well fed at breakfast. The team were able to supply eggless croissants which made the mums very happy!Prateema came to discuss our food arrangements and made great suggestions| including having a chef cook in-house for us| where we had amazing Mauritian cuisine.Sharmila| our butler| was fantastic and ensured that our villa was comfortable and we had whatever we neededThe restaurants all had lovely food. A big thanks to the team at Blue Ginger Thai for catering to our requests and making delicious meals on the 2 occasions we visited. It was the best Thai we've had.The grounds of the hotel were beautifully kept and our villa was extremely spacious. My son loved going swimming in the pool| but equally loved going to the gorgeous beach to swim and play there| too.My son also enjoyed the Kids Club. The staff were very friendly and the facilities and activities were very good.The staff and service were fantastic. My son got a splinter in his foot from a mat in our bedroom. As we were unable to remove it| we called for assistance. Lata arrived within less than 5 minutes| had a lovely manner with my son and out him at ease. She also called a colleague to remove the mat from our room| and returned on our last day to check my son was ok.We had a memorable holiday which was made more memorable by the beautiful hotel and grounds and the wonderful staff that we encountered. We will certainly visit again,Somerset West| South Africa,03-11-17,Yes,5
WE at TAB Golf Resort and Spa from a Mauritian family,We had an excellent Week End. We Enjoyed the food and the boat house a lot. We also enjoyed the family suite and its separate swimming pool.We had a nice surprise for diner| It was our wedding anniversary & we have been privileged guest.,Somerset West| South Africa,30-10-17,Yes,4
Review of Trou Aux Biches Golf Resort and Spa,We are a family of two adults and one 5 year child who visited the resort october 2017. The resort is excellent by all means. 10 out of 10 on the following; service| facilities| location| beach| food| house keeping| internet| sports centre| tennis courts| pools.We had a beach front suite with pool. This was an absolute astonishing experience. Highly recommended to both families| honymooners and other couples ,Somerset West| South Africa,28-10-17,Yes,5
10 star luxury in a tropical paradise,I'm not sure where to begin reviewing this outstanding resort because it is absolutely stunning in so many ways. The warmth of the staff is my most vivid memory and there were so many members of the enormous team who made us feel so welcome and special. During our stay the hotel was almost full and we were fortunate to be there for the Diwali celebrations which involved a huge amount of work. All those lights and décor and amazing buffet without the assistance of a magic wand were amazing.Our holiday started rather dramatically in the early hours when my husband was in trouble with excruciating back pain. Abhishek who welcomed us on arrival as he was on night duty came to his rescue and in no time at all the doctor appeared and he was taken to a clinic in Port Louis by ambulance. I was kept informed by Fatima and Sarah on a regular basis which was very comforting and after his discharge the following day everywhere we went the staff enquired how he was feeling. I was introduced to Nicolas (King of Maintenance) by Sarah when I asked if it would be possible to have a board put under the mattress. In no time at all there was a knock on the door of our room and it was sorted! Walking around the glorious surroundings on a daily basis I was aware of so much activity keeping the gardens/rooms/beach/pools in pristine condition. There are many unseen members of staff who help with the running of such a classy establishment and they are much appreciatedWe have been to Trou aux Biches on three occasions and each time it gets better and better. The staff| the beach| the crystal clear ocean| the food| the tours and boat rides on offer| I could go on forever .... but if you want to have an out of this world experience on a beautiful island| please book now!,Somerset West| South Africa,27-10-17,Yes,5
Trou aux Biche,Our third visit and second one to the new development. Wonderful: Location: Staff: Ambience: Beach: Restaurants: Accommodation:Anyone who fails to enjoy TAB must have a problem as it is amongst the best I have visited. However| some folk have a tendency to be aggressive and rude to staff which does not help them and their stay. I have personally seen it. Charm and friendliness can go a long way.,Somerset West| South Africa,27-10-17,Yes,5
Family holiday ,Great value for money| we stayed in senior suite beach view. Unmatchable location with excellent view from beach front suite. Mahiya Indian restaurant have excellent staff very welcoming and friendly and obviously food is best. ,Hertfordshire,27-10-17,Yes,5
Wonderful,Firstly| the hotel was fully booked but it never felt busy which was amazing. We had a Tropical junior suite which was a great size with the bonus of an outdoor shower (there is an indoor shower too| but we didn't use it!) The rooms are kept spotless| the bed was huge and very comfortable.Each set of suites has its own pool| the pool was large| clean and rarely had more than 2 other people there. Heaven.The food was largely faultless| the buffet was always fresh and really tasty| and Divya the maitre'd was fabulous. She always had a smile on her face and made sure you were happy. That girl deserves a promotion!Our favourite restaurants were Mahiya (Indian) and La Caravelle (International).We also had a couples massage at the spa which was heavenly| you get to enjoy the spa facilities and private pool for the whole day if you wish (when you have a treatment) and it was lovely. Khan did my husbands massage and within 5 minutes said it was the best he had ever had. He used reflexology techniques which really loosened and relaxed my husband.We would also recommend taking a taxi into Port Louis and heading into the markets. It is an attack on every sense and the smell of coriander will not leave me. We also had a locals lunch in the market| roti with sauce wrap. Top Tip: join the longest queue in the food hall and ask for the same as the locals are having| you won't be disappointed.,Hertfordshire,26-10-17,Yes,5
Great location shame about the staff,The location of this hotel was perfect. A 15min bus ride took us to bustling Grand Baie. A short walk along the beach took us to the village of Trou aux Biches with its numerous restaurants| shops and travel agents. All of this on the most beautiful soft sandy beach. The hotel was stunning with water features. Our villa was spacious with a large balcony overlooking a pool and the largest bathroom I have ever seen.Unfortunately the hotel is let down by its staff. There is no concierge. When we asked one of the staff where the bus stop was we were told to get a taxi| but we wanted to experience the local transport. When we asked for information about points of interest etc we were directed to a lady sitting at a desk who was a rep for a travel company and wanted to charge us exorbitant amounts for organized coach trips.All the restaurants except the buffet have to be reserved through the food and beverage desk where they seem to put their rudest members of staff.We were celebrating our 50th anniversary while we were there and wanted to organise something special.but got no help whatsoever. We then requested a special table at one of the restaurants for the day a week in advance and were told we could put our names down but if there was a wedding they would have priority. Fair enough| but when we checked the day before the event were told there was no wedding but the table had been reserved by someone else. we ended up organising our own celebration at another restaurant outside the hotel.I loved Trou aux Biches but will not be returning to this hotel.,Adelaide| Australia,25-10-17,Yes,4
A beautiful honeymoon,We stayed for 4 nights in a junior suite which was beautiful. The beach was fantastic and overall the resort was great. The perfect way to relax and end our honeymoon having come from safari in South Africa.,Sydney| New South Wales| Australia,25-10-17,Yes,5
Great Honeymoon Destination,Perfect in all ways. Food was excellent| staff were friendly and accommodating| loads of activities if you like but equally quiet if you want to relax. Swimming with dolphins was a great added bonus..,Nairobi| Kenya,23-10-17,Yes,5
Memory making holiday,We had a fabulous stay at the Trou aux Biches resort. We stayed in a private villa with outside bath & shower & own pool! We were looked after in a friendly but professional way by Chipper; he was fabulous| we were all very fond of him by the end of our stay. The food in the resort was good but we especially enjoyed eating the Mauritian cuisine & BBQ cooked by Chipper in our own villa. We booked a trip through the hotel to go out into the bay and had the chance of a life time to swim with dolphins! The kids loved this| even the youngest my little 5 year old hopped in with her vest & mask. The water sports at the hotel were great & readily available as were vests| flippers & masks. It was very expensive though to eat and drink anything at the hotel which was outside of your package. A lovely luxurious hotel with friendly staff that we would definitely visit again if we were to return to Mauritius. ,Nairobi| Kenya,21-10-17,Yes,5
Simply perfect,Gorgeous everything: location| rooms (second shower outside under the stars...)| food (a chunk of raw tuna which chefs thinly sliced| wow); divine pools| proximity to the beach (right on it) and the gardens!!!!!! People who love palms| stay there to walk the alley of miniature dates or clumps of red Royal palms. Maintained immaculately. Transportation within hotel in golf cars. We had 5 a.m.departure - they served great breakfast just for two of us. All absolutely perfect. ,Nairobi| Kenya,20-10-17,Yes,5
The perfect stay,Fab all round experience. Great for children with the kids club having good activities and kids care. Food choice outstanding with L’oasis and Indian restaurant being highlights. Staff friendly and responsive. Great value for money. Loved it.,London| United Kingdom,19-10-17,Yes,5
The hotel was lovely in relation to location| facilities and rooms but it was so expensive to eat it left a bitter taste,The hotel was lovely in relation to location| facilities and rooms but it was so expensive to eat it left a bitter taste.The staff were often almost rude when it came to asking for anything that was even slightly out of he norm. Everything was quite regimented in terms of times etc.Beautiful hotel. Immorally expensive,Triolet,17-10-17,Yes,3
A daydream,Situated on the west coast of Mauritius| the best one during the southern winter| it has everything a big one has : space| extended beach| a good selection of restaurants| beautiful gardens| wonderful spa| quality of service| luxurious suites with large bathroom and lovely amenities| choice of sport activities| several pools...,Auckland| New Zealand,16-10-17,Yes,5
16 days in paradise,Mauritius is a dream destination| no nasty animals and no mosquitos| at least none who wanted to eat me and I am usually their first stop. For us the Beachcomber Trou aux Biches is the best resort. We have visited a lot of excellent resorts around the world but Trou aux Biches tops all of them by miles. The staff is super friendly and are going out of their way to make your holiday a fabulous experience.The resort is huge and all the accommodations are spread throughout the resort with heaps of privacy. Even if the resort is full you never feel if. No need to reserve lounger there are plenty of them. 7 normal sized pools and one gigantic one| and the sea including a wonderful sandy beach.I travelled with my parents and we had booked a two bedroom villa. Three years ago we had the pleasure to get an upgrade and this time we did not want to miss out on the ultimate privacy. The villas have a little private garden with pool and you have the ultimate pleasure of your own Butler. Bo| our butler looked after us extremely well and went the extra mile. Breakfast is served for you in your garden| what a treat. For dinner you have the choice between 6 different restaurants and different they all are. The buffet restaurant serves different specialities every day| often with a country theme like e.g. India| or China. These themes repeat each week| however don’t expect the same food. If you have a sweet tooth then you are in heaven here. You have never seen such a variety. The other restaurants are al la carte. Italian| Indian| Thai| French| Mediterranean.This time we visited the spa for the first time and what can I say it is tranquility pure. Any worries will fall off instantly by just walking into the place. Have a treatment and you can use the facilities all day| steam room| another huge swimming pool.Well I mentioned the helpful staff already: Bo our butler| Jeet who did the turning down duties and Fatima who has become a friend. She will help with anything. I lost my crown| luckily did not swallow it| during dinner and by lunch time the next day she had organised a visit to the dentist and all was good again. You feel like part of the family. I hope my parents keep healthy and we can come back next year. Thank you,Auckland| New Zealand,15-10-17,Yes,5
Extremely friendly and helpful staff| gorgeous hotel and location!,This was my second stay| marking birthday celebrations| and it exceeded my already high expectations! The restaurant manager (Anwar) organised a special dinner table| with rose petals| and even arranged for a birthday cake and sparkling drink for all 4 of us! Staff were brilliant| friendly and very attentive throughout our stay. Heated pools in every crescent meant no over-crowding and very quiet and relaxing time by the pool. Sunsets on the beach are the best. Booking was made directly through the hotel| which meant a more personalised service.,Munich| Germany,12-10-17,Yes,5
Great experience| nice resort| beautiful beach,Very nice resort| the great suite we had. Beach is very nice| ocean with beautiful different blue shades. Staff very helpful. Only one thing in the bathroom the Marmor tiles in the shower were already broken and did look a bit filthy. Allover I would recommend it though.,Munich| Germany,11-10-17,Yes,5
Honeymoon,By far an amazing place to stay| the staff| food| rooms. Not one thing I can fault. It’s a must visit. Most water activities are free. The food at the buffet restaurant is superb. There are also Al Le Carte restaurants. Amazing spa facilities. The list is endless ,Johannesburg,11-10-17,Yes,5
An expansive resort| first class facilities,Based on the North West part of Mauritius| good weather can be expected at this time of the year (early October) . We were not disappointed. The resort is large| the accommodation is well spaced and sufficient choice of restaurants ensures enjoyable dining experiences. Unfortunately| no golf course - despite being advertised as a golf resort. Beaches are clean. Staff are pleasant and friendly. Close to Grand Bay| so a daily outing is recommended,Johannesburg,11-10-17,Yes,5
An expansive resort | fantastic location,Trou Biches is a large resort with plenty of space between units| allowing for a relaxing and pleasant holiday. Beaches are clean| staff efficient and service good. The gym is well worth using with good equipment Dinner choices were good but breakfast menu (a buffet) was somewhat limited and repetitive. No golf course though - even though advertised as a golf resort ,Johannesburg| South Africa,09-10-17,Yes,5
Repeat performance - Revisited,I reviewed Trou aux Biches in 2014 after our 4th visit. We have returned every year since then. We even stay in the same room every time! overall this must be one of the most magnificent properties on Mauritius with one of the very best beaches. It caters for the whole family and via the 6 restaurants on the property cater for every taste in food. The Spa is excellent and the facilities for our 14 year old son fantastic. The entertainment in the evenings were not on the same standard as previous years and the setting of tables in the main restaurant| both at breakfast and dinner was also not on par with previous years. We love Trou aux Biches and will certainly return next year however| in an environment where there is stiff competition taking care of the small things becomes very important.,Johannesburg| South Africa,09-10-17,Yes,5
Absolutely amazing !,If you are looking for a perfect holiday with every single bit of it *taken care* then this is the place. The villa service is perhaps the best I have seen In the world. The timeliness | care| clock work perfection and yet warm caring and personalised. Our villa butler Aureale has to be the best omelette maker in the world : So kind caring and with robotic powers to conjure anything from a perfect in villa bbq to a delicious green island rum cocktail .Thank you for the happiest memories. Holidays are meant to be just this. We will be back soon ,Triolet,08-10-17,Yes,5
Excellent stay in a five star hotel!,The nice environment and the outstanding service combined with a beautiful beach and pool area made it easy to relax. Scuba diving at the nearby dive center was also a Highlight of our stay| We will come back!,Triolet,07-10-17,No,5
best value to money,excellent service by all employees:they are friendly| try the best to fulfill requests.excellent facilities: rooms are clean well air conditioned| with plenty of placerestaurants: there are 5 different cuisines with variety of offers.water sport facilities: Hobby-cats| wind surfing| pedal boats| sap's kayaksInternal transportation with club cars make the vacation easy and memorable. ,Triolet,05-10-17,No,5
Stunning Villas for the whole family,Just returned from a stay over the summer months at Trou Aux Biches. We stayed in one of the two bedroom villas at the back of the resort for 2 weeks. Wow| what an amazing stay from start to finish| cant even make one compliant about anything| event he weather was warmer than I had thought it to be. Best bits1. Butler2. Pool3. Room Service4. Restaurants - excellent and varied food5. Private pool at the villa6. service was outstanding7. Perfect for families wanting a luxury break with the kids. 8. Spa - just divine9. Activities for the whole family10. Kids club| he didnt want to leaveShout out to SeyExclusive|com found us another perfect hotel in the Indian Ocean.,Bath| United Kingdom,04-10-17,No,5
Relaxing Vacation in Paradise,A wonderful hotel area| small villas are located in a quite and relaxing tropical garden atmosphere. The booked tropical suite was spacious| clean and in good condition. The very friendly and helpful hotel staff makes the real difference. We enjoyed the variety of several good restaurants and dining events | which gave us a plenty of choice. Our absolute favorites are the smaller Indian and Thai restaurant| both delivering excellent food and dedicated service.,Feldkirchen| Germany,03-10-17,No,5
25th Wedding Aniversary,stayed in room 405. it was stunning.food and beach and activities great.ideal place for couples. wish there was more entertainment in the evenings| as there is nothing outside the resort.staff are incredibly friendly and helpful.,St. Albans| United Kingdom,03-10-17,No,5
20 TH ANNIVERSARY,NOTHING seemed to be too much effort for the staff.Staff very friendly| none of our valuables was ever touched or opened.Escape package could do with a relook as there were a fair amount of items that attracted a additional supplement.,Johannesburg| South Africa,02-10-17,Yes,4
